s	(málfr.)consonant /æs:/;(tilt.) ikki kenna s fyri knot know the letters (be a backwardel.retarded pupil)
SA	(st., sigl.)registration letters for vessels from the island ofSandoy
sabbatsár	sabbatical (year)
sabbatsdagur	Sabbath day
sabbatshvíld	Sabbath rest
sabbatslóg	Sabbath law
sabbatur	Sabbath;bróta sabbatinbreak the Sabbath;halda sabbatinkeep the Sabbath, observe the Sabbath
sabinakona	(sø.) sabinakonurnar verða rændarthe Rape of the Sabines/the rape of the Sabine Women
sabini	(sø.)Sabine
saddukeari	(bíbl.)Sadducee
saddukeiskur	(bíbl.)Sadducean
sadisma	sadism
sadistiskur	sadistic
sadistur	sadist
sadomasokisma	sadomasochism
sadomasokistiskur	sadomasochist(ic)
sadomasokistur	sadomasochist
saðil	søðlum; stb. hvmf eint)1(á rossi og súkklu) saddle (á violin) nut;blaka e-n úr saðlinumunseat/throw/unhorse sby;taka saðilin av rossiunsaddle a horse;hjálpa e-m upp í saðilinhelp sby into the saddle,(tlm.)give sby a leg-up;svinga seg upp í saðilinvault into the saddle;leggja saðil á rosssaddle a horse;ríða við ongum saðli(ríða á berbaki) ride bareback2(stb.á neyti, seyðio.tíl.)saddleback(ed)3(seyðal.)[dark colouring on the back of white sheep]
saðilband	(kvæð.)saddle girth;(am. eis.)cinch
saðilbogi	(kvæð.)saddle bow;(byggil.)ogee arch
saðilbogin	1(um ross, of horse) saddleback(ed)2(um fólk) sway-backed
saðilborin	(sj., stb.)sísaðilbogin1
saðilboygdur	(um ross) sísaðilbogin
saðildýr	(kvæð.)horse,stíga til saðildýramount the horses
saðilgjørð	(kvæð.)girth;(am. eis.)cinch
saðilkertil	(likam.)hypophysis(flthypophyses), pituitary body, pituitary gland
saðilklæði	saddle blanket,(sø.)caparison
saðilreim	(kvæð.)stirrup leather
saðilslittur	(seyðal.)[white (sheep) with dark colouring on its back]
saðilsmíð	saddlery; upholstery
saðiltaska	saddlebag
saðiltóvi	(kvæð.)pad
saðla	1saddle; saðlahestsaddle a horse;(kvæð.) Grani úti saðlaður stóðGrani stood saddled outside;(tilt.) hann ríður ikki sama dag, hann saðlarhe is a slow starter, he likes to take his time2(stb.)put pack harness (on a horse); saðlarossput pack harness on a horse3(um rokk) put the cord on a spinning-wheel
saðlasmiðja	saddlery, saddler's workshop; upholsterer's workshop
saðlasmiður	(sum ger saðlar) saddler; (sum ger rossatýggj) harness saddler
safirur	sapphire;kvennsafirurfemale sapphire,kallsafirurmale sapphire
saft	1juice(t.d.lemon juice, meat juice, gastric juice)2(í plantum) sap3(við sukri) syrup(t.d.raspberry syrup)4(sum heilivágur) liquor
saftarleysur	1(stb.)insensitive, hard-hearted;tað var saftarleys gerð at koyra mammuna útit was an insenstive/cruel act to turn out his mother2sapless, dry
saftarlítil	sapless, dry
saftarloysi	1(stb.)hard-heartedness, insensitiveness2saplessness, dryness
saftarmikil	juicy, succulent(t.d.pears)
saftigur	juicy, succulent
saftmikil	juicy, succulent;saftmikið grassucculent grass;plantur við saftmiklum bløðumplants with juicy leaves
saftvatn	[fruit syrup and water], (tíðum) squash; juice
sag	saw;kasta sagset a saw
saga	1saw, cut with saw2(um fiskserst.longu, of fish,espling) cut through the line with the teeth;longan sagaði teymin avthe ling cut through the snood/snel3(um sigling, róður í hørðum mótráki, rowingel.sailing with great difficulty through an area where the current is strong)tað var so vit sagaðu (tað)we only just stemmed the current
sagarblað	saw blade
sagarbonkur	(stb.)sawhorse
sagarkjaftur	íosb.sumlíggin er sum ein sagarkjafturthe scythe has a jagged edge
sagarknabbi	(handv.)handle (of a saw to which the blade is fixed)
sagarlað	sísagulað
sagarmaður	sawyer
sagarsnórur	cord which gives the correct sawing direction
sagartonn	saw tooth;sagtenninar á sagthe pitch of a saw
sagblað	sísagarblað
sagdi	sísiga
sagdur	sísiga
saggi	(sj.)moistness, dampness, wetness
sagilað	sísagulað
sagispønir	(stb.)sísaguspønir
sagknappur	sísagarknabbi
sagkrabbi	(dýr.)toothed rock crab(Cancer bellianus)© Wikipedia Commons
sagmaður	(stb.)sísagumaður
sagnabókmentir	legendaryel.mythical literature
sagnagerð	formation of legends
sagnagreinsking	legendary research
sagnamikil	storied; fabled
sagnarbitil	(málfr.)verbal particle
sagnareykasetningur	(málfr.)object clause
sagnaringur	(bókm.)cycle of legends;Sjúrðarkvæði hava evni sítt úr samgermanska sagnaringinum um nivlungartheSjúrðarkvæðiderive their subject matter from a (common) Germanic cycle of legends concerning the Song of the Nibelungs
sagnarlýsingarorð	(málfr.)verbal adjective
sagnarnavnorð	(málfr.)verbal noun
sagnasveiptur	storied; fabled; síeis.sagnmikil
sagnbenda	(málfr.)conjugate
sagnbending	(málfr.)conjugation, inflexion of verbs, verbal inflexion
sagnheimur	mythical world
sagnhetja	legendaryel.mythical characterel.figure; legendary hero
sagnir	sísøgn
sagnkendur	legendary, mythical, fabulous
sagnkongur	legendary king
sagnliður	(málfr.)(sentence) verb
sagnmikil	rich in legends; storied; fabled
sagnorð	(málfr.)verb;sterkt bend//veikt bend sagnorðstrong//weak verbs, regular/irregular verbs;ávirkandi//óávirkandi sagnorðtransitive//intransitive verbs;hjálparsagnorðauxiliary (verbs)
sagnorða-	verbal
sagnorðabending	(málfr.)conjugation, inflexion of verbs, verbal inflexion
sagnpersónur1	legendaryel.mythical characterel.figure
sagnpersónur2	legendaryel.mythical characterel.figure
sagnskaldskapur	legendaryel.mythical poetry
sagntíð	legendary ageel.period
sagnyrking	legendaryel.mythical poem
sagogrýn	pearl sago
sagomjøl	sago flour
sagont	(fugl.)hooded merganser(Lophodytes cucullatus)(Linnaeus, 1758)Mergus cucullatus ©iStock
sagosuppa	[sago boiled in water flavoured with sugar, fruit juice,etc]
sagosúpan	[sago boiled in water flavoured with sugar, fruit juice,etc]
sagovellingur	[sago boiled in milk]
sagspenni	(handv.)cord of a saw
sagtentur	(plfr.)serrate(d), saw-toothed
sagtonn	(dýr.)saw tooth
sagulað	(gl.)[construction to saw long planks with a pit saw. The construction has four three-yard tall stone blocks on which two logs are placed. While sawing one sawyer stands on the top and the other one on the ground]
